"","Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"1","Ankit Sharma",3,"1","1","3","3*","-","3","100.00","0","0","0","0","0"
"2","M Ashwin",10,"1","0","0","0","0.00","1","0.00","0","0","1","0","0"
"3","R Ashwin",14,"6","4","41","29","20.50","38","107.89","0","0","1","3","1"
"4","GJ Bailey",6,"5","1","84","34","21.00","98","85.71","0","0","1","9","2"
"5","R Bhatia",10,"6","5","34","21","34.00","20","170.00","0","0","0","1","2"
"6","SM Boland",2,"-","-","-","-","-","-","-","-","-","-","-","-"
"7","DL Chahar",2,"-","-","-","-","-","-","-","-","-","-","-","-"
"8","MS Dhoni",14,"12","5","284","64*","40.57","210","135.23","0","1","0","18","14"
"9","AB Dinda",9,"-","-","-","-","-","-","-","-","-","-","-","-"
"10","F du Plessis",6,"6","0","206","69","34.33","162","127.16","0","2","0","17","9"
"11","PSP Handscomb",2,"1","0","6","6","6.00","12","50.00","0","0","0","0","0"
"12","UT Khawaja",6,"6","0","127","30","21.16","100","127.00","0","0","0","14","3"
"13","MR Marsh",3,"1","0","7","7","7.00","11","63.63","0","0","0","0","0"
"14","JA Morkel",2,"1","0","16","16","16.00","9","177.77","0","0","0","0","2"
"15","IK Pathan",4,"3","0","11","7","3.66","13","84.61","0","0","0","0","0"
"16","NLTC Perera",12,"10","3","150","34","21.42","93","161.29","0","0","0","7","11"
"17","KP Pietersen",4,"4","2","73","37","36.50","61","119.67","0","0","0","4","3"
"18","AM Rahane",14,"14","3","480","74","43.63","379","126.64","0","6","2","54","9"
"19","I Sharma",4,"1","1","0","0*","-","0","-","0","0","0","0","0"
"20","RP Singh",4,"-","-","-","-","-","-","-","-","-","-","-","-"
"21","SPD Smith",8,"7","1","270","101","45.00","176","153.40","1","0","0","27","8"
"22","SS Tiwary",10,"8","1","170","57","24.28","141","120.56","0","2","0","17","4"
"23","A Zampa",5,"1","0","0","0","0.00","1","0.00","0","0","1","0","0"
